1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
113.3410 	EXP 	fixation: autoDraw = True
114.3474 	EXP 	fixation: autoDraw = False
114.3638 	EXP 	grating: autoDraw = True
114.3638 	EXP 	grating: tex = 'sin'
114.6633 	EXP 	grating: autoDraw = False
114.7320 	EXP 	window1: recordFrameIntervals = False
114.7342 	DATA 	Keypress: left
114.7472 	EXP 	fixation: autoDraw = False
114.7472 	EXP 	grating: autoDraw = False
114.7473 	EXP 	window1: recordFrameIntervals = False
115.7257 	EXP 	fixation: autoDraw = True
116.7303 	EXP 	fixation: autoDraw = False
116.7472 	EXP 	grating: autoDraw = True
116.7472 	EXP 	grating: tex = 'sin'
117.0464 	EXP 	grating: autoDraw = False
117.0984 	EXP 	window1: recordFrameIntervals = False
117.1005 	DATA 	Keypress: right
117.1130 	EXP 	fixation: autoDraw = False
117.1130 	EXP 	grating: autoDraw = False
117.1131 	EXP 	window1: recordFrameIntervals = False
118.0912 	EXP 	fixation: autoDraw = True
119.0965 	EXP 	fixation: autoDraw = False
119.1129 	EXP 	grating: autoDraw = True
119.1129 	EXP 	grating: tex = 'sin'
119.4137 	EXP 	grating: autoDraw = False
119.5158 	EXP 	window1: recordFrameIntervals = False
119.5179 	DATA 	Keypress: left
119.5301 	EXP 	fixation: autoDraw = False
119.5301 	EXP 	grating: autoDraw = False
119.5302 	EXP 	window1: recordFrameIntervals = False
120.5085 	EXP 	fixation: autoDraw = True
121.5138 	EXP 	fixation: autoDraw = False
121.5302 	EXP 	grating: autoDraw = True
121.5302 	EXP 	grating: tex = 'sin'
121.8301 	EXP 	grating: autoDraw = False
121.9319 	EXP 	window1: recordFrameIntervals = False
121.9340 	DATA 	Keypress: right
121.9472 	EXP 	fixation: autoDraw = False
121.9472 	EXP 	grating: autoDraw = False
121.9473 	EXP 	window1: recordFrameIntervals = False
122.9245 	EXP 	fixation: autoDraw = True
123.9300 	EXP 	fixation: autoDraw = False
123.9300 	EXP 	grating: autoDraw = True
123.9300 	EXP 	grating: tex = 'sin'
124.2307 	EXP 	grating: autoDraw = False
124.7661 	EXP 	window1: recordFrameIntervals = False
124.7684 	DATA 	Keypress: left
124.7800 	EXP 	fixation: autoDraw = False
124.7800 	EXP 	grating: autoDraw = False
124.7801 	EXP 	window1: recordFrameIntervals = False
125.7592 	EXP 	fixation: autoDraw = True
126.7637 	EXP 	fixation: autoDraw = False
126.7807 	EXP 	grating: autoDraw = True
126.7807 	EXP 	grating: tex = 'sin'
127.0799 	EXP 	grating: autoDraw = False
127.2657 	EXP 	window1: recordFrameIntervals = False
127.2681 	DATA 	Keypress: left
127.2801 	EXP 	fixation: autoDraw = False
127.2801 	EXP 	grating: autoDraw = False
127.2802 	EXP 	window1: recordFrameIntervals = False
128.2584 	EXP 	fixation: autoDraw = True
129.2634 	EXP 	fixation: autoDraw = False
129.2634 	EXP 	grating: autoDraw = True
129.2634 	EXP 	grating: tex = 'sin'
129.5632 	EXP 	grating: autoDraw = False
129.9153 	EXP 	window1: recordFrameIntervals = False
129.9173 	DATA 	Keypress: right
129.9300 	EXP 	fixation: autoDraw = False
129.9300 	EXP 	grating: autoDraw = False
129.9301 	EXP 	window1: recordFrameIntervals = False
130.9083 	EXP 	fixation: autoDraw = True
131.9130 	EXP 	fixation: autoDraw = False
131.9130 	EXP 	grating: autoDraw = True
131.9130 	EXP 	grating: tex = 'sin'
132.2133 	EXP 	grating: autoDraw = False
132.4158 	EXP 	window1: recordFrameIntervals = False
132.4179 	DATA 	Keypress: right
132.4299 	EXP 	fixation: autoDraw = False
132.4299 	EXP 	grating: autoDraw = False
132.4300 	EXP 	window1: recordFrameIntervals = False
133.4085 	EXP 	fixation: autoDraw = True
134.4136 	EXP 	fixation: autoDraw = False
134.4307 	EXP 	grating: autoDraw = True
134.4307 	EXP 	grating: tex = 'sin'
134.7302 	EXP 	grating: autoDraw = False
135.0822 	EXP 	window1: recordFrameIntervals = False
135.0842 	DATA 	Keypress: left
135.0967 	EXP 	fixation: autoDraw = False
135.0967 	EXP 	grating: autoDraw = False
135.0968 	EXP 	window1: recordFrameIntervals = False
136.0747 	EXP 	fixation: autoDraw = True
137.0800 	EXP 	fixation: autoDraw = False
137.0965 	EXP 	grating: autoDraw = True
137.0965 	EXP 	grating: tex = 'sin'
137.3967 	EXP 	grating: autoDraw = False
137.6155 	EXP 	window1: recordFrameIntervals = False
137.6175 	DATA 	Keypress: right
137.6299 	EXP 	fixation: autoDraw = False
137.6299 	EXP 	grating: autoDraw = False
137.6300 	EXP 	window1: recordFrameIntervals = False
138.6085 	EXP 	fixation: autoDraw = True
139.6138 	EXP 	fixation: autoDraw = False
139.6308 	EXP 	grating: autoDraw = True
139.6308 	EXP 	grating: tex = 'sin'
139.9299 	EXP 	grating: autoDraw = False
140.1320 	EXP 	window1: recordFrameIntervals = False
140.1340 	DATA 	Keypress: right
140.1467 	EXP 	fixation: autoDraw = False
140.1467 	EXP 	grating: autoDraw = False
140.1468 	EXP 	window1: recordFrameIntervals = False
141.1249 	EXP 	fixation: autoDraw = True
142.1299 	EXP 	fixation: autoDraw = False
142.1299 	EXP 	grating: autoDraw = True
142.1299 	EXP 	grating: tex = 'sin'
142.4308 	EXP 	grating: autoDraw = False
142.5489 	EXP 	window1: recordFrameIntervals = False
142.5509 	DATA 	Keypress: left
142.5639 	EXP 	fixation: autoDraw = False
142.5639 	EXP 	grating: autoDraw = False
142.5640 	EXP 	window1: recordFrameIntervals = False
143.5414 	EXP 	fixation: autoDraw = True
144.5475 	EXP 	fixation: autoDraw = False
144.5475 	EXP 	grating: autoDraw = True
144.5475 	EXP 	grating: tex = 'sin'
144.8466 	EXP 	grating: autoDraw = False
144.9324 	EXP 	window1: recordFrameIntervals = False
144.9345 	DATA 	Keypress: left
144.9472 	EXP 	fixation: autoDraw = False
144.9472 	EXP 	grating: autoDraw = False
144.9473 	EXP 	window1: recordFrameIntervals = False
